"Lingua","Sprache"
"Pacchetti trovati","E-Mail-Liste gefunden"
"Categoria","Kategorie"
"Categorie","Kategorien"
"Nazione","Nation"
"*Nazione","*Nation"
"Nazioni","Nationen"
"Tutte le nazioni","Alle Nationen"
"Regioni","Regionen"
"Anagrafiche","Register"
"anagrafiche","register"
"Prezzo","Preis"
"prezzo","preis"
"iva escl.","no vat"
"Azioni","Aktionen"
"Seleziona","w&auml;hlen"
"Carrello","Warenkorb"
"pacchetti","E-mail-liste"
"0 prodotti nell carrello.","Ihr Warenkorb ist leer"
"Totale(iva escl.)","Gesamt(ohne MwSt.)"
"Totale IVA escl.","Gesamt ohne MwSt."
"iva","Mehrwertsteuer"
"Totale(iva incl.)","Gesamtpreis"
"Totale IVA incl.","Gesamtpreis"
"Totale IVA","Gesamtpreis"
"Importo IVA","MwSt."
"Rimuovi","Eliminate"
"Aggiungi al carrello","In den Warenkorb"
"Acquista","Jetzt kaufen"
"incl.",""
"Il prodotto &egrave; stato aggiunto al carrello con successo!","Die Produkt wurde zum Ihr Warenkorb gelegt!"
"Il prodotto &egrave; stato rimosso dal carrello con successo!","Die Produkt wurde erfolgreich aus dem Warenkorb entfernt"
"An error has occured! Please try again later!","Ein Fehler ist aufgetreten! Bitte versuchen Sie es später noch einmal!"
"Riepilogo carrello","Warenkorb Zusammenfassung"
"Il pacchetto &egrave; gi&agrave; nell carrello!","Die E-Mail-Liste ist bereits in Ihrem Warenkorb!"
"Si &egrave; verificato un errore riprova pi&ugrave; tardi!","Ein Fehler ist aufgetreten! Bitte versuchen Sie es später noch einmal!"
"Riepilogo carrello","Ihr Warenkorb Zusammenfassung"
"Torna indietro","Zurück"
"Conferma l'ordine","Auftrag bestätigen"
"Compila il form con i tuoi dati e clicca il pulsante 'Acquista'","Füllen Sie das Feld unten aus und klicken Sie auf die Schaltfläche 'Mit der zahlung verfahren'"
"Nome e cognome","Name und Nachname"
"Ragione sociale","Die Kompanie name"
"Città","Stadt"
"Provincia","Bundesland / Landkreis / Region"
"Telefono","Telefonnummer"
"Email","E-Mail-Addresse"
"Ripeti email","Wiederholen Sie die E-Mail-Adresse"
"Seleziona modalità di pagamento","Bezahlverfahren"
"Accetto le","Bezahlverfahren"
"normativa","AGB"
"condizioni di vendita","AGB"
"ACQUISTA","MIT DER ZAHLUNG VERFAHREN"
"Chiudi","Schließen"
"Grazie per il tuo acquisto!","Vielen Dank für Ihre Bestellung!"
"Ordine confermato!","Bestellung bestätigt!"
"Grazie per il tuo ordine! Ti confermiamo che il tuo ordine è stato effettuato con successo.","Vielen Dank für Ihre Bestellung. Wir bestätigen Ihnen, dass Ihre Bestellung erfolgreich platziert wurde!"
"Qui sotto trovi le istruzioni per il pagamento","Im Folgenden finden Sie die Zahlungsanweisungen"
"Continua le spese","Fahren Sie mit dem Einkaufen fort"
"Stampa questa pagina","Drucke diese Seite"
"Metodo di pagamento","Bezahlverfahren"
"Il tuo ordine: #","Ihre Bestellnummer"
"su","auf"
"Riepilogo acquisto","Kauf Zusammenfassung"
"Questo campo è obligatorio","Das Feld ist obligatorisch"
"Bonifico bancario","Banküberweisung"
"Bonifico Bancario","Banküberweisung"
"bonifico","Banküberweisung"
"PayPal o carta di credito","Paypal oder Kreditkarte"
"paypal","Paypal oder Kreditkarte"
"Se non vieni reindirizzato automaticamente entro 5 secondi clicca qui.","Wenn Sie innerhalb von 5 Sekunden nicht automatisch umgeleitet werden, klicken Sie hier."
"La tua ricerca non ha prodotto nessun risultato!","Ihre Suche ergab keine Treffer!"
"Errore nella connessione al WebService, riprova a breve oppure contattaci","Web Service Verbindungsfehler, bitte versuchen Sie es später noch einmal oder kontaktieren Sie uns"
"Il servizio non è disponibile, riprova a breve oppure contattaci","Der Web Service ist nicht verfügbar, bitte versuchen Sie es später noch einmal oder kontaktieren Sie uns"
"Connessione non riuscita: verifica le tue credenziali","Verbindung fehlgeschlagen: Überprüfen Sie Ihren Benutzernamen und Ihr Passwort"
"Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Überprüfen Sie Ihre E-Mail, wir haben Ihnen eine Bestätigungs-E-Mail verschickt."
"Istruzioni per il pagamento:","Zahlungsanweisungen:"
"Grazie per il tuo acquisto! Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Danke für ihren Einkauf! Überprüfen Sie Ihre E-Mail, wir haben Ihnen eine Bestätigungs-E-Mail verschickt."
"Target Database","Ziel Datenbank"
"Vai alla cassa","zur Kasse"
"Verifica se hai compilato correttamente tutti i campi!","Überprüfen Sie, ob Sie alle Felder korrekt ausgefüllt haben!"
"Pacchetti in evidenza:","Unterstützte Verzeichnisse:"
"Accetto","Ich stimme"
"l'informativa","den Datenschutzbestimmungen"
"sul trattamento dei dati",""
