"Lingua","Language"
"Pacchetti trovati","Email lists"
"Categoria","Category"
"Categorie","Categories"
"Nazione","Location"
"*Nazione","*Country"
"Nazioni","Countries"
"Tutte le nazioni","All countries"
"Regioni","Regions"
"Anagrafiche","Registries"
"anagrafiche","registries"
"Prezzo","Price"
"prezzo","price"
"iva escl.","no vat"
"Azioni","Actions"
"Seleziona","Select"
"Carrello","Cart"
"pacchetti","lists"
"0 prodotti nell carrello.","Your cart is empty"
"Totale(iva escl.)","Total(no vat)"
"Totale IVA escl.","Total no vat"
"Totale IVA","Total VAT"
"iva","vat"
"Importo IVA","VAT"
"Totale(iva incl.)","Total price"
"Totale IVA incl.","Total price"
"Rimuovi","Eliminate"
"Aggiungi al carrello","Add to cart"
"Acquista","Add to cart"
"Vai alla cassa","Checkout"
"Il prodotto &egrave; stato aggiunto al carrello con successo!","The product was added to your cart successfully!"
"Il prodotto &egrave; stato rimosso dal carrello con successo!","The product was successfully removed from the cart!"
"Il pacchetto &egrave; gi&agrave; nell carrello!","The email list is allready in your shopping cart!"
"Si &egrave; verificato un errore riprova pi&ugrave; tardi!","An error has occured! Please try again later!"
"Riepilogo carrello","Your cart summary"
"Torna indietro","Back"
"Conferma l'ordine","Order confirm"
"Compila il form con i tuoi dati e clicca il pulsante 'Acquista'","Fill in the field below and click the button 'Proceed with the payment'"
"Nome e cognome","Name and Surname"
"Ragione sociale","Company Name"
"Città","City"
"Provincia","State / Province / Region"
"Telefono","Phone Number"
"Email di spedizione","Email address"
"Ripeti email di spedizione","Repeat Email"
"Seleziona modalità di pagamento","Payment Method"
"Accetto le","I accept"
"normativa","condizioni di vendita"
"condizioni di vendita","the sales conditions"
"ACQUISTA","PROCEED WITH THE PAYMENT"
"Chiudi","Close"
"Grazie per il tuo acquisto!","Thank you for your order!"
"Ordine confermato!","Order Confirmed!"
"Grazie per il tuo ordine! Ti confermiamo che il tuo ordine è stato effettuato con successo.","Thank you for your order. We confirm you that your order was placed successfully!"
"Qui sotto trovi le istruzioni per il pagamento","Below you can find the payment instructions"
"Continua le spese","Continue your shopping"
"Stampa questa pagina","Print this page"
"Metodo di pagamento","Payment method"
"Il tuo ordine: #","Your order No."
"su","on"
"Riepilogo acquisto","Order summary"
"Questo campo è obligatorio","This field is mandatory"
"Bonifico bancario","Bank transfer"
"Bonifico Bancario","Bank transfer"
"bonifico","Bank transfer"
"PayPal o carta di credito","Paypal or credit card"
"paypal","Paypal or credit card"
"Se non vieni reindirizzato automaticamente entro 5 secondi clicca qui.","If you are not automatically redirected within 5 seconds click here."
"La tua ricerca non ha prodotto nessun risultato!","Your search did not return any results!"
"Errore nella connessione al WebService, riprova a breve oppure contattaci","WebService connection error, please try again later or contact us"
"Il servizio non è disponibile, riprova a breve oppure contattaci","The web service is not available, please try again later or contact us"
"Connessione non riuscita: verifica le tue credenziali","Connection Failed: Check your username and password"
"Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Check your email, we have sent you a confirmation email."
"Istruzioni per il pagamento:","Payment instructions:"
"Grazie per il tuo acquisto! Controlla la tua Email, ti abbiamo inviato un’email di conferma.","Thanks for your purchase! Check your email, we have sent you a confirmation email."
"Target Database","Database target"
"incl.",""
"Codice fiscale","Tax code"
"Verifica se hai compilato correttamente tutti i campi!","Check if you have filled in all fields correctly!"
"Pacchetti in evidenza:","Featured email lists:"
"Accetto","I accept"
"l'informativa","the terms"
"sul trattamento dei dati","and conditions of the privacy"
